DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrSince98,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,DimPortfolioID,BenchmarkDimAccountID,Account,DimBenchmarkID,BenchmarkName,Twr6Month,Twr2Year,Twr4Year,Twr7Year
7165,13260,Janchor,Janchor Opp I,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.123247,-0.125069,-0.282258,-0.014616,-0.00879,0.034036,-0.123247,-0.27108,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,1650,Janchor Opp Custom BM,-0.216345,-0.086083,-0.018855,0.042633
7165,97158,Janchor,Janchor Opp I,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.123247,-0.125069,-0.282258,-0.014616,-0.00879,0.034036,-0.123247,-0.27108,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,1650,Janchor Opp Custom BM,-0.216345,-0.086083,-0.018855,0.042633
5925,97218,Janchor,Janchor Opp II,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.123247,-0.125069,-0.282258,-0.014616,-0.00879,0.034036,-0.123247,-0.27108,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,1650,Janchor Opp Custom BM,-0.216345,-0.086083,-0.018855,0.042633
5925,81335,Janchor,Janchor Opp II,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.123247,-0.125069,-0.282258,-0.014616,-0.00879,0.034036,-0.123247,-0.27108,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,1650,Janchor Opp Custom BM,-0.216345,-0.086083,-0.018855,0.042633
3822,82595,UTIMCO,Taiwan Semi,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.158356,-0.144749,-0.305269,0.103513,0.080388,0.094951,-0.158356,-0.359287,,6.7459,,9446875850,7925135774,12,78372,IX1F00281838,604,MSCI Taiwan Net Dividend,-0.314178,-0.002392,0.076186,0.110895
3822,89178,UTIMCO,Taiwan Semi,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.158356,-0.144749,-0.305269,0.103513,0.080388,0.094951,-0.158356,-0.359287,,6.7459,,9446875850,7925135774,12,78372,IX1F00281838,604,MSCI Taiwan Net Dividend,-0.314178,-0.002392,0.076186,0.110895
4406,97038,Charles-Lim,Charles-Lim Asia,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.127695,-0.13834,-0.287495,-0.01331,-0.012075,0.030273,-0.127695,-0.278604,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,2070,MSCI AC Asia ex-Japan,-0.215928,-0.097104,-0.018621,0.043688
4406,80255,Charles-Lim,Charles-Lim Asia,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.127695,-0.13834,-0.287495,-0.01331,-0.012075,0.030273,-0.127695,-0.278604,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,2070,MSCI AC Asia ex-Japan,-0.215928,-0.097104,-0.018621,0.043688
20584,77135,Proa Partners,Proa,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.127695,-0.13834,-0.287495,-0.01331,-0.012075,0.030273,-0.127695,-0.278604,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,2070,MSCI AC Asia ex-Japan,-0.215928,-0.097104,-0.018621,0.043688
20584,110597,Proa Partners,Proa,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.127695,-0.13834,-0.287495,-0.01331,-0.012075,0.030273,-0.127695,-0.278604,,6.9425,,57353347839,50217217114,12,82332,IX1F00309178,2070,MSCI AC Asia ex-Japan,-0.215928,-0.097104,-0.018621,0.043688
1993,110117,Hillhouse,Hillhouse Gaoling,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.145443,-0.224376,-0.352907,-0.070557,-0.054207,0.025614,-0.145443,-0.31117,,0.5137,,20766554450,17975987064,12,87726,IX1F00078668,3030,MSCI China,-0.197248,-0.225235,-0.062451,0.019089
1993,75155,Hillhouse,Hillhouse Gaoling,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.145443,-0.224376,-0.352907,-0.070557,-0.054207,0.025614,-0.145443,-0.31117,,0.5137,,20766554450,17975987064,12,87726,IX1F00078668,3030,MSCI China,-0.197248,-0.225235,-0.062451,0.019089
2629,82355,CoreView Capital Management,CoreView China,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.145443,-0.224376,-0.352907,-0.070557,-0.054207,0.025614,-0.145443,-0.31117,,0.5137,,20766554450,17975987064,12,87726,IX1F00078668,3030,MSCI China,-0.197248,-0.225235,-0.062451,0.019089
2629,88758,CoreView Capital Management,CoreView China,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.145443,-0.224376,-0.352907,-0.070557,-0.054207,0.025614,-0.145443,-0.31117,,0.5137,,20766554450,17975987064,12,87726,IX1F00078668,3030,MSCI China,-0.197248,-0.225235,-0.062451,0.019089
3384,713,UTIMCO,Total Emerging Markets Public Equity,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,TRUE,30-09-2022 00:00:00,,-0.117232,-0.115724,-0.281141,-0.020667,-0.018069,0.010479,-0.117232,-0.271588,,9.0232,,64720020027,57346595506,12,89951,IX1F00274888,103,EM Policy Blended BM,-0.216972,-0.078197,-0.020541,0.038819
