FactReturnsID,DimAccountID,SHORT_NAME,SUBGROUP,SEGMENT,CATEGORY,SECTOR,LEVEL4,SECASE_NAME,PRELNK_AS_OF_DATE,MONTH,QUARTER,SIX_MONTH,FISCAL_YTD,YTD,YEAR_1,YEAR_2,YEAR_3,YEAR_4,YEAR_5,YEAR_7,YEAR_10,YEAR_15,YEAR_20,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,NAV,Source,Created_Date,Updated_Date,Execution_ID,Created_By,Updated_By,FinalNAV,CustodianMarketValue
949708,90736,Russell 3000 Index PRFO,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.2729,-4.4646,-20.4201,,-24.6207,-17.6272,4.2254,7.7002,6.4842,8.6162,10.8996,11.3854,7.9179,9.9271,11.481,,360964000000,356041000000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
892546,90605,Dow Jones Util Pr Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-11.9532,-8.3389,-14.7315,,-9.4125,1.5816,4.429,0.3705,5.3747,4.1907,6.3651,6.4452,3.8857,7.3503,5.0352,,12.9,11.36,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1074790,88390,S&P 500 Info Tech Sec,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-12.0066,-6.207,-25.1919,,-31.444,-20.0018,1.5474,14.9319,13.3138,16.7355,19.2609,17.087,12.8425,14.2643,12.5344,,91079058703,79514492108,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
991255,87307,MSCI Pacific Fr Net,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.4709,-2.6653,-8.5401,,-8.9857,-9.6975,7.4145,4.8223,2.5493,4.1199,6.0058,9.4337,2.5607,5.777,2.7337,,48892913742,43302663316,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1098609,85330,S&P/ASX 300,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.2947,0.4543,-11.8202,,-9.9819,-7.9955,9.7266,2.7266,5.1033,6.8311,8.0718,8.3767,4.2247,8.4751,8.856,,21256476713,19774947132,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1066438,82088,MSCI EAFE X- UK Val Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-5.7408,-4.2523,-9.8667,,-8.9287,-7.3096,11.0977,2.5678,1.5623,1.6273,4.2705,7.5021,1.947,6.2911,9.2353,,52715295756,47519253544,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1091588,81550,MSCI EMU X-Ger PrRt Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-6.3791,-4.0791,-14.6015,,-22.0523,-17.0627,5.3256,-1.0961,0.0574,-0.2575,2.2475,4.7546,-1.1752,2.7153,0.3831,,30941934914,28182177433,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
985193,80827,MSCI AC APac Ex JPY,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.7572,-8.9031,-15.091,,-19.3954,-20.1418,-3.5413,1.2351,1.0531,1.7161,5.9244,5.5737,3.3674,8.7893,8.2219,,68808847133,60202084694,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1063377,80408,MSCI Sing Fr Pr Grwth,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-2.5106,-0.9494,-22.5413,,-33.2959,-40.1705,-16.1686,-17.4385,-13.8733,-10.2923,-6.2971,-6.3582,-6.889,-0.2534,0.7289,,952439932.3,910182674.2,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1060077,80048,MSCI Pac X-Jp PrGr Idx,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-8.4115,-6.943,-15.5692,,-20.7654,-21.9195,-5.051,-4.047,-1.4449,1.5129,3.7952,3.2808,-0.6044,4.8479,6.4681,,9025197170,7907621439,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1083251,78191,SP Emerging Markets SMCP,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.2729,-6.1344,-17.0853,,-23.2867,-22.7631,2.8656,4.0075,3.172,0.7784,5.9092,3.3479,2.339,11.436,4.9856,,10603061155,9090842875,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
998484,14629,FT EMU Gov Bond 10+yr,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-9.4563,-14.3722,-31.8199,,-39.246,-40.7459,-25.1568,-14.984,-7.8421,-6.3409,-3.1169,-0.1894,1.2165,4.0539,6.3377,,18652116597,16926486960,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1084686,14562,BB UST Bellwether 5 Y,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-2.9538,-3.9115,-5.9316,,-10.7861,-11.5878,-6.9829,-2.4759,0.295,-0.1782,-0.0608,0.2606,2.4842,2.5042,6.1079,,446060000,441560000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
1079047,13783,BB Eur-Agg Corp 10+Y,0,855,0,0,0,INDEX LOCAL CURRENCY RET,30-09-2022 00:00:00,-7.0577,-5.6499,-21.8157,,-29.6249,-30.2701,-15.8181,-10.5131,-4.3815,-3.523,-0.5943,1.6982,3.7391,4.237,4.2456,,1665360000,1503170000,,HistoricalLoad,22-08-2024 19:54:52,22-08-2024 19:54:52,EXECID12345,SysUser,SysUser,,
