DimInvestmentID,Investment Regime,Asset Class,Sub Asset Class,SubAssetClassNew,AssetClassNew,Original_AssetClass,Original_SubAssetClass,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,IsAssetClass Total,IsConsolidation Account,IsRegime Total,IsSubassetClass Total,Name,IsAssetClassTotal,IsConsolidationAccount,InvestmentManagerID,IsRegimeTotal,IsSubassetClass_Total
3928,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Jain Onshore US-PA,0,0,Jain Global,0,0
3786,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,FifthDelta US-PA,0,0,FifthDelta,0,0
3765,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Balyasny Atlas Enhanced US-PA,0,0,Balyasny,0,0
3697,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Millennium Intl DM-PA,0,0,Millennium Management,0,0
3665,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,DE Shaw Alkali IV DM-PA,0,0,DE Shaw,0,0
3548,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,DE Shaw Diopter Offshore DM-PA,0,0,DE Shaw,0,0
3437,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,DE Shaw Alkali V Onshore US-PA,0,0,DE Shaw,0,0
3425,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Weiss Brookdale Global US-PA,0,0,Weiss Asset Management,0,0
3306,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Weiss Brookdale Global DM-PA,0,0,Weiss Asset Management,0,0
2977,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Pillar TX DM-PA,0,0,Pillar Capital,0,0
2805,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Highbridge Tactical Credit DM-PA,0,0,Highbridge,0,0
2788,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,ExodusPoint Onshore DM-PA,0,0,ExodusPoint,0,0
2588,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Walleye DM-PA,0,0,Walleye Capital LLC,0,0
2541,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,BSOF Co-Invest US-PA,0,0,Blackstone,0,0
2417,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,FifthDelta DM-PA,0,0,FifthDelta,0,0
2364,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,Hedge Fund Overlay,Developed Markets Public Equity,Developed Markets Public Equity,Hedge Fund Overlay,1,1,4,0,0,0,0,Holocene Onshore DM-PA,0,0,Holocene,0,0
34957,Global Equity,Developed Markets Public Equity,Non-U.S. Developed Public Equity,Non-U.S. Developed Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,Non-U.S. Developed Public Equity,1,1,2,0,0,0,0,Indus Japan LO,0,0,Indus,0,0
27605,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,Global Developed Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,Global Developed Public Equity,1,1,3,0,0,0,0,DE Shaw AE - Combined Returns,0,0,DE Shaw,0,0
25925,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,Global Developed Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,Global Developed Public Equity,1,1,3,0,0,0,0,Arrowstreet ACWI,0,0,Arrowstreet,0,0
25304,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,Global Developed Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,Global Developed Public Equity,1,1,3,0,0,0,0,Tybourne LO,0,0,Tybourne,0,0
24313,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,Global Developed Public Equity,Developed Markets Public Equity,Developed Markets Public Equity,Global Developed Public Equity,1,1,3,0,0,0,0,AKO Global LO,0,0,AKO,0,0
