DimInvestmentID,DimAccountID,InvestmentManagerID,Name,AssetClass,SubAssetClass,InvestmentRegime,Original_AssetClass,Original_SubAssetClass,IsPrimaryAccount,AsOfDate,NAV,Twr1Month,Twr3Month,Twr1Year,Twr3Year,Twr5Year,Twr10Year,TwrFytd,TwrYtd,TwrInceptionInvested,TwrSince98,TwrCompYtd,SINCE_INCEPTION,INCEPTION_DATE,AdjustedBegMV,TOT_MARKET_VALUE,SortOrder_Regime,SortOrder_AssetClass,SortOrder_SubAssetClass,SortOrder,IsRegimeTotal,IsAssetClassTotal,IsConsolidationAccount,IsSubassetClass_Total,TargetAllocation,DimPortfolioID,CustodianMarketValue
4601,102677,Petra,Petra Korea - Combined Returns,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,51994295,-0.178981,-0.142415,-0.419131,0.03101,-0.022541,,-0.178981,-0.390872,0.012602,,1,1.2721,,63328961.5,51994294.54,1,2,5,17552,0,0,0,0,7,12,
4406,97038,Charles-Lim,Charles-Lim Asia,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,108783311,-0.064378,-0.037144,-0.474807,0.071564,0.114556,,-0.064378,-0.419342,0.129294,,1,13.1152,,116268417.2,108783310.6,1,2,5,16217,0,0,0,0,7,12,
3472,102677,Petra,Petra Korea Small Cap,Emerging Markets Public Equity,Global EM Public Equity,Global Equity,Emerging Markets Public Equity,Global EM Public Equity,TRUE,30-09-2022 00:00:00,51994295,-0.178981,-0.142415,-0.419131,0.03101,-0.022541,,-0.178981,-0.390872,0.012602,,1,1.2721,,63328961.5,51994294.54,1,2,5,17550,0,0,0,0,7,12,
550,97098,Baker Brothers,Baker Bros Healthcare,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,124412811,-0.088875,-0.099653,-0.362473,-0.02692,-0.000674,,-0.088875,-0.271271,0.019478,,1,1.9751,,136548520,124412810.6,1,1,1,2477,0,0,0,0,20.1,12,
14164,104837,Westwood Global,Westwood Developed,Developed Markets Public Equity,Non-U.S. Developed Public Equity,Global Equity,Developed Markets Public Equity,Non-U.S. Developed Public Equity,TRUE,30-09-2022 00:00:00,111022226,-0.101568,-0.096761,-0.22705,0.030428,0.014721,,-0.101568,-0.245978,0.021453,,1,1.6558,,123573341.2,111022226.3,1,1,2,8151,0,0,0,0,20.1,12,
6251,9175,DE Shaw,DE Shaw Alkali IV,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,17707136,0.024003,-0.002572,0.028546,0.094415,,,0.024003,-0.010891,0.09352,,1,11.434,,86882757.38,88967953.42,1,4,11,27470,0,0,0,0,,12,
23465,8455,Farallon,Farallon Special Situations I,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,18383282,0.0051,0.024688,0.028842,0.096548,,,0.0051,0.02404,0.092465,,1,9.2464,,91896517.51,92365189.75,1,4,11,27443,0,0,0,0,,12,
7977,8335,Contrarian,Contrarian EM II,Directional Hedge Funds,Directional Credit,Global Equity,Directional Hedge Funds,Directional Credit,TRUE,30-09-2022 00:00:00,39822815,-0.064444,-0.053161,-0.161634,-0.053398,,,-0.064444,-0.14312,-0.057464,,1,-5.7464,,213868750,200086250,1,4,11,26658,0,0,0,0,,12,
32473,8575,D1 Capital Partners,D1 HF,Directional Hedge Funds,Long/Short Equity,Global Equity,Directional Hedge Funds,Long/Short Equity,TRUE,30-09-2022 00:00:00,88745320,-0.018155,-0.006367,-0.177211,0.168251,,,-0.018155,-0.201741,0.163756,,1,16.3756,,454138113.2,445893093.3,1,4,7,23530,0,0,0,0,,12,
22685,115337,BlueSpruce,WhiteSpruce,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,153716335,-0.102816,-0.058001,-0.262422,0.00277,,,-0.102816,-0.290452,0.047944,,1,4.7944,,171331945.8,153716335.1,1,1,1,2119,0,0,0,0,20.1,12,
7193,115817,Eminence,Eminence US,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,50208723,-0.104751,-0.02918,-0.248044,0.093629,,,-0.104751,-0.305027,0.107009,,1,10.7008,,56083550.68,50208723.41,1,1,1,3542,0,0,0,0,20.1,12,
3060,5692,UTIMCO,GS US Value Passive,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,91897437,-0.082005,-0.057408,-0.092857,0.035481,,,-0.082005,-0.173616,0.071459,,1,7.2518,,98110116.4,91897437.3,1,1,1,2918,0,0,0,0,20.1,12,
761,1012,DE Shaw,DE Shaw US 130-30,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,222552059,-0.081995,-0.027352,-0.129293,0.07237,,,-0.081995,-0.212272,0.093247,,1,9.3247,,242430010.7,222552059.1,1,1,1,1432,0,0,0,0,20.1,12,
188,5632,UTIMCO,MSCI US Passive,Developed Markets Public Equity,U.S. Public Equity,Global Equity,Developed Markets Public Equity,U.S. Public Equity,TRUE,30-09-2022 00:00:00,0,0,0,-0.999594,-0.919404,,,0,-0.999175,-0.859943,,1,,,0.01,0.01,1,1,1,6743,0,0,0,0,20.1,12,
3659,94280,UTIMCO,Total Portable Alpha,Developed Markets Public Equity,Hedge Fund Overlay,Global Equity,Developed Markets Public Equity,Hedge Fund Overlay,TRUE,30-09-2022 00:00:00,,-0.083067,-0.062182,-0.2246,-0.081297,,,-0.083067,-0.2246,-0.060395,,1,2.0995,,338269127.8,327104001,1,1,4,14448,0,0,0,0,20.1,12,
27605,1012,DE Shaw,DE Shaw AE - Combined Returns,Developed Markets Public Equity,Global Developed Public Equity,Global Equity,Developed Markets Public Equity,Global Developed Public Equity,TRUE,30-09-2022 00:00:00,222552059,-0.081995,-0.027352,-0.129293,0.07237,,,-0.081995,-0.212272,0.093247,,1,9.3247,,242430010.7,222552059.1,1,1,3,10347,0,0,0,0,20.1,12,
